Name,StructType,Project_Id,ProjectLnk,Status,Appear_Dt,Appear_Src,Disapp_Dt,Disapp_Src,Editor,Edit_Dt,EditAction,Model_ID,Model_Cred,ModelBatch,Model_File,Model_Dt,Model_Note,Model_LOD,Survey_Dt,Survey_Src,Centr_Lat,Centr_Lon,Gnd_El_Ft,Z_Max_Ft,Z_MIn_Ft,Height_Ft,Tile_ID,Parcel_ID,Struct_ID,StructUse,GoogleLnk,NearMapLnk,Struct_Lnk,Parcel_Lnk,chgAction,chgStatus,chgStatDt,chgStatSrc,chgQAIssue,chgFlag,ChgEdBatch,RecInitUsr,RecInitDt,ChgFlagger,ChgFlagDt
212-222 Stuart,Building,2202,http://www.bostonplans.org/projects/development-projects/212-222-Stuart-Street,Current,20210327,Nearmap 03/27/2021,,,PBCOTE,20210528,Promoted Status Observation,BOS_BZFU0M7,BPDA Urban Design Technology Group,9/5/2017,212-Stuart-St-BV-2017.3DS,20170905,,3,20170905,Modeled from drawings.,42.3504158813,-71.0682939269,10.8329138895,219.500019917,7.50011583333,208.667106027,BOS_H_4,0500129000,,Building,"https://www.google.com/maps/search//@42.348415881337594,-71.0682939269074,263a,35y,39.46t/data=!3m1!1e3","https://apps.nearmap.com/maps/#/@42.3504158813376,-71.0682939269074,21.00z,1d/3D",,https://app01.cityofboston.gov/AssessingMap/?find=0500129000,,,,,,,,,,,
Government Center Garage Redevelopment,Building,1387,http://www.bostonplans.org/projects/development-projects/Government-Center-Garage-Redevelopment,Current,20210327,Nearmap 03/27/2021,,,PBCOTE,20210528,Promoted Status Observation,BOS_HCUS5FO,BPDA Urban Design Technology Group,bpda_20170801\3DNewBuildingin3ds,Split from UDTG Model,20170809,,3,,Modeled from drawings,42.3621783122,-71.0596427813,13.12,520.000075083,0.000130833344883,506.880075083,BOS_H_4,0302700000,,Building,"https://www.google.com/maps/search//@42.3601783122178,-71.059642781348,263a,35y,39.46t/data=!3m1!1e3","https://apps.nearmap.com/maps/#/@42.3621783122178,-71.059642781348,21.00z,1d/3D",,https://app01.cityofboston.gov/AssessingMap/?find=0302700000,,,,,,,,,,,
MGH-Building-for-3-Century-WE,Building,1435,http://www.bostonplans.org/projects/development-projects/massachusetts-general-hospital-building-for-3rd,Current,20101201,Per Google Earth,,,PBCOTE,20210528,Promoted Status Observation,BOS_NA5WDS6,BPDA Urban Design Technology Group,bpda_20170801\3DNewBuildingin3ds,Copied from UDTG 3D Studio FIle,20170809,,3,,Modeled from drawings,42.3627545343,-71.069240764,9.84,205.000048917,11.5001078333,195.160048917,BOS_H_4,0300370000,,Building,"https://www.google.com/maps/search//@42.360754534340295,-71.0692407639752,263a,35y,39.46t/data=!3m1!1e3","https://apps.nearmap.com/maps/#/@42.3627545343403,-71.0692407639752,21.00z,1d/3D",,https://app01.cityofboston.gov/AssessingMap/?find=0300370000,,,,,,,,,,,
Government Center Garage Redevelopment,Building,1387,http://www.bostonplans.org/projects/development-projects/Government-Center-Garage-Redevelopment,Under Construction,20210327,Per Nearmap 03/27/2021,,,PBCOTE,20210528,Promoted Status Observation,BOS_XB8E1J9,BPDA Urban Design Technology Group,bpda_20170801\3DNewBuildingin3ds,Split from UDTG Model,20170809,,3,,Modeled from drawings,42.3624753021,-71.0596056863,9.84,101.499927833,0.000130833344883,91.6599278333,BOS_H_4,0302700000,,Building,"https://www.google.com/maps/search//@42.3604753021052,-71.0596056863148,263a,35y,39.46t/data=!3m1!1e3","https://apps.nearmap.com/maps/#/@42.3624753021052,-71.0596056863148,21.00z,1d/3D",,https://app01.cityofboston.gov/AssessingMap/?find=0302700000,,,,,,,,,,,
Government Center Garage Redevelopment,Building,1387,http://www.bostonplans.org/projects/development-projects/Government-Center-Garage-Redevelopment,Under Construction,,Per Nearmap 03/27/2021,,,PBCOTE,20210528,Promoted Status Observation,BOS_SKX34AV,BPDA Urban Design Technology Group,bpda_20170801\3DNewBuildingin3ds,Split from UDTG Model,20170809,,3,,Modeled from drawings,42.3626606763,-71.060067657,9.84,656.000131167,0.000130833344883,646.160131167,BOS_H_4,0302700000,,Building,"https://www.google.com/maps/search//@42.3606606762503,-71.0600676570165,263a,35y,39.46t/data=!3m1!1e3","https://apps.nearmap.com/maps/#/@42.3626606762503,-71.0600676570165,21.00z,1d/3D",,https://app01.cityofboston.gov/AssessingMap/?find=0302700000,,,,,,,,,,,
33-61 Temple Street,Building,3219,http://www.bostonplans.org/projects/development-projects/33-61-Temple-Street,Current,20181026,Nearmap 10/26/2018,,,PBCOTE,20210528,Promoted Status Observation,BOS_2PRH230,BPDA Urban Design Technology Group,bpda_20170801\3DNewBuildingin3ds,33-61-Temple-St-Beacon-Hill,20170809,,3,20160713,Modeled from drawings,42.3599086611,-71.0638142918,49.2,156.000146917,62.5000058333,106.800146917,BOS_H_4,0300050010,,Building,"https://www.google.com/maps/search//@42.3579086610718,-71.0638142917911,263a,35y,39.46t/data=!3m1!1e3","https://apps.nearmap.com/maps/#/@42.3599086610718,-71.0638142917911,21.00z,1d/3D",,https://app01.cityofboston.gov/AssessingMap/?find=0300050010,,,,,,,,,,,
Government Center Garage,Building,0,,Permitted Demo,20180101,,,New projectsbeing built with garage still standing per Nearmap 03/27/2021,PBCOTE,20210615,Returned to model after being deleted mistakenly.,BOS_9PL66T9,Cybercity 3D,9/14/2014,"Miscellaneous GeoDatabase Feature-Classes, Assimilated by pbcGIS",20140914,,0,20120401,Photogrammetry by Infotech,42.3626198296,-71.0592229439,9.84,147.500163917,15.0001008333,137.660163917,BOS_H_4,0302700000,,,"https://www.google.com/maps/search//@42.3606198295791,-71.0592229439099,263a,35y,39.46t/data=!3m1!1e3","https://apps.nearmap.com/maps/#/@42.3626198295791,-71.0592229439099,21.00z,1d/3D",,https://app01.cityofboston.gov/AssessingMap/?find=0302700000,,,,,,,,,,,
Longfellow-Bridge,Bridge,0,,Current,,,,,,,Inserted 3ds model from UDTG batch,BOS_UPZFAL7,BPDA Urban Design Technology Group,BPDA_Bridges,Longfellow-Bridge.3DS,20191223,,3,,Handmade from drawings,42.3614243469,-71.0743176699,3.28,92.9999448333,-30.00013725,89.7199448333,BOS_H_4,,,,"https://www.google.com/maps/search//@42.3594243468699,-71.0743176698877,263a,35y,39.46t/data=!3m1!1e3","https://apps.nearmap.com/maps/#/@42.3614243468699,-71.0743176698877,21.00z,1d/3D",,,,,,,,,,,,,
59 Temple Place,Building,1530,http://www.bostonplans.org/projects/development-projects/59-Temple-Place,Current,18990101,"Boston Assessor, 2018",,,pbc,20201109,Repaired model normals,BOS_SE1TFQU,Cybercity3D,9/14/2014,"Miscellaneous GeoDatabase Feature-Classes, Assimilated by pbcGIS",20140914,,2,20120401,Photogrammetry by Infotech,42.3547527267,-71.0616169684,29.52,193.500071917,29.5000718333,163.980071917,BOS_H_4,0304810010,,,"https://www.google.com/maps/search//@42.352752726665095,-71.0616169683592,263a,35y,39.46t/data=!3m1!1e3","https://apps.nearmap.com/maps/#/@42.3547527266651,-71.0616169683592,21.00z,1d/3D",,https://app01.cityofboston.gov/AssessingMap/?find=0304810010,,,,,,,,,,,
20 24 NEWBURY ST,Building,0,,Current,19200101,"Boston Assessor, 2018",,,pbc,20201109,Repaired model normals,BOS_DB19OW9,Cybercity3D,9/14/2014,"Miscellaneous GeoDatabase Feature-Classes, Assimilated by pbcGIS",20140914,,2,20120401,Photogrammetry by Infotech,42.3520411725,-71.0724748288,13.12,130.999868833,15.0001008333,117.879868833,BOS_H_4,0501245000,,,"https://www.google.com/maps/search//@42.3500411725433,-71.0724748287755,263a,35y,39.46t/data=!3m1!1e3","https://apps.nearmap.com/maps/#/@42.3520411725433,-71.0724748287755,21.00z,1d/3D",,https://app01.cityofboston.gov/AssessingMap/?find=0501245000,,,,,,,,,,,
