Name,StructType,Project_Id,ProjectLnk,Status,Appear_Dt,Appear_Src,Disapp_Dt,Disapp_Src,Editor,Edit_Dt,EditAction,Model_ID,Model_Cred,ModelBatch,Model_File,Model_Dt,Model_Note,Model_LOD,Survey_Dt,Survey_Src,Centr_Lat,Centr_Lon,Gnd_El_Ft,Z_Max_Ft,Z_MIn_Ft,Height_Ft,Tile_ID,Parcel_ID,Struct_ID,StructUse,GoogleLnk,NearMapLnk,Struct_Lnk,Parcel_Lnk,chgAction,chgStatus,chgStatDt,chgStatSrc,chgQAIssue,chgFlag,ChgEdBatch,RecInitUsr,RecInitDt,ChgFlagger,ChgFlagDt
2 12 SPICE ST,Building,0,,Current,19100101,"Boston Assessor, 2018",,,pbcGIS,20170824,Extended bottom by 8 feet,BOS_JSAQZ20,Cybercity3D,9/14/2014,"Miscellaneous GeoDatabase Feature-Classes, Assimilated by pbcGIS",20140914,,2,20120401,Photogrammetry by Infotech,42.3835333217,-71.0749927411,12.9326913479,57.5000158333,0.000130833344883,44.5673244855,BOS_G_2,0202156001,,,"https://www.google.com/maps/search//@42.3815333216656,-71.0749927410595,263a,35y,39.46t/data=!3m1!1e3","https://apps.nearmap.com/maps/#/@42.3835333216656,-71.0749927410595,21.00z,1d/3D",,https://app01.cityofboston.gov/AssessingMap/?find=0202156001,,,,,,,,,,,
2 12 SPICE ST,Building,0,,Current,19100101,"Boston Assessor, 2018",,,pbcGIS,20170824,Extended bottom by 8 feet,BOS_PE8R54T,Cybercity3D,9/14/2014,"Miscellaneous GeoDatabase Feature-Classes, Assimilated by pbcGIS",20140914,,2,20120401,Photogrammetry by Infotech,42.38339728,-71.0750472256,13.12,33.0000648333,0.000130833344883,19.8800648333,BOS_G_2,0202156001,,,"https://www.google.com/maps/search//@42.381397280017495,-71.0750472256336,263a,35y,39.46t/data=!3m1!1e3","https://apps.nearmap.com/maps/#/@42.3833972800175,-71.0750472256336,21.00z,1d/3D",,https://app01.cityofboston.gov/AssessingMap/?find=0202156001,,,,,,,,,,,
2 12 SPICE ST,Building,0,,Current,19100101,"Boston Assessor, 2018",,,pbcGIS,20170824,Extended bottom by 8 feet,BOS_M3MX8WJ,Cybercity3D,9/14/2014,"Miscellaneous GeoDatabase Feature-Classes, Assimilated by pbcGIS",20140914,,2,20120401,Photogrammetry by Infotech,42.3832913847,-71.074957498,13.12,28.0000748333,0.000130833344883,14.8800748333,BOS_G_2,0202156001,,,"https://www.google.com/maps/search//@42.381291384690094,-71.0749574980249,263a,35y,39.46t/data=!3m1!1e3","https://apps.nearmap.com/maps/#/@42.3832913846901,-71.0749574980249,21.00z,1d/3D",,https://app01.cityofboston.gov/AssessingMap/?find=0202156001,,,,,,,,,,,
SPICE ST,Building,0,,Current,,,,,pbcGIS,20170824,Extended bottom by 8 feet,BOS_BU5PZ2P,Cybercity3D,9/14/2014,"Miscellaneous GeoDatabase Feature-Classes, Assimilated by pbcGIS",20140914,,2,20120401,Photogrammetry by Infotech,42.3831971991,-71.0748794214,13.12,24.5000818333,-1.49986616666,11.3800818333,BOS_G_2,0202156000,,,"https://www.google.com/maps/search//@42.3811971991409,-71.0748794214489,263a,35y,39.46t/data=!3m1!1e3","https://apps.nearmap.com/maps/#/@42.3831971991409,-71.0748794214489,21.00z,1d/3D",,https://app01.cityofboston.gov/AssessingMap/?find=0202156000,,,,,,,,,,,
2 12 SPICE ST,Building,0,,Current,19100101,"Boston Assessor, 2018",,,pbcGIS,20170824,Extended bottom by 8 feet,BOS_96EY4IT,Cybercity3D,9/14/2014,"Miscellaneous GeoDatabase Feature-Classes, Assimilated by pbcGIS",20140914,,2,20120401,Photogrammetry by Infotech,42.3832924084,-71.0749570443,13.12,34.5000618333,20.0000908333,21.3800618333,BOS_G_2,0202156001,,,"https://www.google.com/maps/search//@42.381292408438895,-71.0749570442603,263a,35y,39.46t/data=!3m1!1e3","https://apps.nearmap.com/maps/#/@42.3832924084389,-71.0749570442603,21.00z,1d/3D",,https://app01.cityofboston.gov/AssessingMap/?find=0202156001,,,,,,,,,,,
2 12 SPICE ST,Building,0,,Current,19100101,"Boston Assessor, 2018",,,pbcGIS,20170824,Extended bottom by 8 feet,BOS_UB88E7G,Cybercity3D,9/14/2014,"Miscellaneous GeoDatabase Feature-Classes, Assimilated by pbcGIS",20140914,,2,20120401,Photogrammetry by Infotech,42.3833678036,-71.0750308526,13.12,37.5000558333,25.0000808333,24.3800558333,BOS_G_2,0202156001,,,"https://www.google.com/maps/search//@42.381367803613095,-71.0750308525834,263a,35y,39.46t/data=!3m1!1e3","https://apps.nearmap.com/maps/#/@42.3833678036131,-71.0750308525834,21.00z,1d/3D",,https://app01.cityofboston.gov/AssessingMap/?find=0202156001,,,,,,,,,,,
2 12 SPICE ST,Building,0,,Current,19100101,"Boston Assessor, 2018",,,pbcGIS,20170824,Extended bottom by 8 feet,BOS_DQDCHA0,Cybercity3D,9/14/2014,"Miscellaneous GeoDatabase Feature-Classes, Assimilated by pbcGIS",20140914,,2,20120401,Photogrammetry by Infotech,42.3833685472,-71.0749265281,13.12,81.9999668333,0.000130833344883,68.8799668333,BOS_G_2,0202156001,,,"https://www.google.com/maps/search//@42.3813685471798,-71.0749265281174,263a,35y,39.46t/data=!3m1!1e3","https://apps.nearmap.com/maps/#/@42.3833685471798,-71.0749265281174,21.00z,1d/3D",,https://app01.cityofboston.gov/AssessingMap/?find=0202156001,,,,,,,,,,,
2 12 SPICE ST,Building,0,,Current,19100101,"Boston Assessor, 2018",,,pbcGIS,20170824,Extended bottom by 8 feet,BOS_JQIFCAK,Cybercity3D,9/14/2014,"Miscellaneous GeoDatabase Feature-Classes, Assimilated by pbcGIS",20140914,,2,20120401,Photogrammetry by Infotech,42.3834336622,-71.0749699349,13.12,24.5000818333,13.5001038333,11.3800818333,BOS_G_2,0202156001,,,"https://www.google.com/maps/search//@42.3814336622412,-71.0749699348693,263a,35y,39.46t/data=!3m1!1e3","https://apps.nearmap.com/maps/#/@42.3834336622412,-71.0749699348693,21.00z,1d/3D",,https://app01.cityofboston.gov/AssessingMap/?find=0202156001,,,,,,,,,,,
2 12 SPICE ST,Building,0,,Current,19100101,"Boston Assessor, 2018",,,pbcGIS,20170824,Extended bottom by 8 feet,BOS_DCL973P,Cybercity3D,9/14/2014,"Miscellaneous GeoDatabase Feature-Classes, Assimilated by pbcGIS",20140914,,2,20120401,Photogrammetry by Infotech,42.3834203459,-71.0749562305,13.12,21.5000878333,0.000130833344883,8.38008783334,BOS_G_2,0202156001,,,"https://www.google.com/maps/search//@42.3814203459064,-71.0749562304637,263a,35y,39.46t/data=!3m1!1e3","https://apps.nearmap.com/maps/#/@42.3834203459064,-71.0749562304637,21.00z,1d/3D",,https://app01.cityofboston.gov/AssessingMap/?find=0202156001,,,,,,,,,,,
2 12 SPICE ST,Building,0,,Current,19100101,"Boston Assessor, 2018",,,pbcGIS,20170824,Extended bottom by 8 feet,BOS_FQ8FQB4,Cybercity3D,9/14/2014,"Miscellaneous GeoDatabase Feature-Classes, Assimilated by pbcGIS",20140914,,2,20120401,Photogrammetry by Infotech,42.383472577,-71.0749582122,13.12,29.5000718333,0.000130833344883,16.3800718333,BOS_G_2,0202156001,,,"https://www.google.com/maps/search//@42.381472576988195,-71.0749582121737,263a,35y,39.46t/data=!3m1!1e3","https://apps.nearmap.com/maps/#/@42.3834725769882,-71.0749582121737,21.00z,1d/3D",,https://app01.cityofboston.gov/AssessingMap/?find=0202156001,,,,,,,,,,,
2 12 SPICE ST,Building,0,,Current,19100101,"Boston Assessor, 2018",,,pbcGIS,20170824,Extended bottom by 8 feet,BOS_QYWMTOT,Cybercity3D,9/14/2014,"Miscellaneous GeoDatabase Feature-Classes, Assimilated by pbcGIS",20140914,,2,20120401,Photogrammetry by Infotech,42.3835369726,-71.0747540434,12.0635811685,15.0001008333,0.000130833344883,2.93651966486,BOS_G_2,0202156001,,,"https://www.google.com/maps/search//@42.3815369725995,-71.0747540434316,263a,35y,39.46t/data=!3m1!1e3","https://apps.nearmap.com/maps/#/@42.3835369725995,-71.0747540434316,21.00z,1d/3D",,https://app01.cityofboston.gov/AssessingMap/?find=0202156001,,,,,,,,,,,
2 12 SPICE ST,Building,0,,Current,19100101,"Boston Assessor, 2018",,,pbcGIS,20170824,Extended bottom by 8 feet,BOS_YM5NY1N,Cybercity3D,9/14/2014,"Miscellaneous GeoDatabase Feature-Classes, Assimilated by pbcGIS",20140914,,2,20120401,Photogrammetry by Infotech,42.3835359531,-71.0747673354,12.3041812406,15.0001008333,0.000130833344883,2.69591959275,BOS_G_2,0202156001,,,"https://www.google.com/maps/search//@42.381535953088395,-71.0747673354051,263a,35y,39.46t/data=!3m1!1e3","https://apps.nearmap.com/maps/#/@42.3835359530884,-71.0747673354051,21.00z,1d/3D",,https://app01.cityofboston.gov/AssessingMap/?find=0202156001,,,,,,,,,,,
18 SPICE ST,Building,0,,Current,18990101,"Boston Assessor, 2018",,,pbcGIS,20170824,Extended bottom by 8 feet,BOS_MWQE8TT,Cybercity3D,9/14/2014,"Miscellaneous GeoDatabase Feature-Classes, Assimilated by pbcGIS",20140914,,2,20120401,Photogrammetry by Infotech,42.3832197163,-71.0746007989,10.5554971746,57.5000158333,44.5000418333,46.9445186588,BOS_G_2,0202155000,,,"https://www.google.com/maps/search//@42.381219716252694,-71.0746007988837,263a,35y,39.46t/data=!3m1!1e3","https://apps.nearmap.com/maps/#/@42.3832197162527,-71.0746007988837,21.00z,1d/3D",,https://app01.cityofboston.gov/AssessingMap/?find=0202155000,,,,,,,,,,,
